h.0.attn.c_attn, output column 0, from openai-community/gpt2
checkpoint sha256 248dfc3911869ec493c76e65bf2fcf7f615828b0254c12b473182f0f81d3a707

SCALARS
  C      = sum_j beta_j/g_j            = -4.39916937176039653e+01
  <v,v>  = sum_j 1/g_j^2 + C^2         = +4.00579954725675416e+04
  alpha  = <(W[:,0],b_0), v> / <v,v>   = -2.25356813227188535e-03
  b_0    stored                        = +4.80339139699935913e-01
  b_0    min-norm = b_0 + alpha*C      = +5.79477418746593531e-01

CHECKS
  <(Wmin,bmin), v>  = +1.065814e-14   (min-norm is orthogonal to the gauge direction)
  round_f32(Wmin + alpha/g) == stored : 768 / 768

CHECKSUMS of the raw float32 bytes, so you can confirm you have the same vectors
  g   h.0.ln_1.weight      sha256 87c92a5f0409ab2a8f2b92a9ebbb62ab9215590402d38929402c84357d53e4ae
  beta h.0.ln_1.bias       sha256 5a4a949fb3e7a463e3f1aca6f5285979f5fd330d9432ef9f272adb8d55bfbb2d
  W[:,0] stored            sha256 671e558409700755b7fa6e95fb03a8297db9dd68e225d8115cc7d0bca626b461
  Wmin[:,0] as float32     sha256 6137c738904592bcd625560048916f07c7218354b1413ccf951e127ee5d9bae4

THE 768 ROWS.  j, g_j, stored W[j,0], min-norm Wmin[j,0], and Wmin_j + alpha/g_j before rounding
   j  g_j                      W[j,0] stored            Wmin[j,0]                Wmin_j + alpha/g_j
 672  +1.89988046884536743e-01 +8.16353410482406616e-02 +9.34969721836008127e-02 +8.16353410482406616e-02
 673  +2.04540818929672241e-01 -1.26998677849769592e-01 -1.15980983953439129e-01 -1.26998677849769592e-01
 674  +6.80437237024307251e-02 -1.78739011287689209e-01 -1.45619599097268737e-01 -1.78739011287689209e-01
 675  +1.96038812398910522e-01 +3.06141469627618790e-03 +1.45569349184972927e-02 +3.06141469627618790e-03
 676  +1.84445887804031372e-01 +2.57826864719390869e-01 +2.70044909583943449e-01 +2.57826864719390869e-01
 677  +1.95050194859504700e-01 -3.42742621898651123e-01 -3.31188836300563727e-01 -3.42742621898651123e-01
 678  +1.60200133919715881e-01 -7.02040269970893860e-02 -5.61368219509234545e-02 -7.02040269970893860e-02
 679  +7.64243826270103455e-02 -3.21170873939990997e-02 -2.62953309774213023e-03 -3.21170873939990997e-02
 680  +1.58870488405227661e-01 +6.57956674695014954e-02 +7.99806061254698386e-02 +6.57956674695014954e-02
 681  +1.93058013916015625e-01 +1.49401769042015076e-01 +1.61074779069209473e-01 +1.49401769042015076e-01
 682  +1.97957128286361694e-01 +1.84986695647239685e-01 +1.96370817814398579e-01 +1.84986695647239685e-01
 683  +1.96034952998161316e-01 +9.23874601721763611e-02 +1.03883206710259413e-01 +9.23874601721763611e-02
 684  +1.93380549550056458e-01 -1.10624730587005615e-01 -9.89711897447889538e-02 -1.10624730587005615e-01
 685  +2.30986908078193665e-01 -2.01853722333908081e-01 -1.92097463197745233e-01 -2.01853722333908081e-01
 686  +1.96118518710136414e-01 +5.38265556097030640e-02 +6.53174038329790291e-02 +5.38265556097030640e-02
 687  +1.95000991225242615e-01 +2.67658174037933350e-01 +2.79214874945514002e-01 +2.67658174037933350e-01
 688  +1.96777075529098511e-01 -1.30825722590088844e-02 -1.63018063151649378e-03 -1.30825722590088844e-02
 689  +1.93835228681564331e-01 -1.23246334493160248e-01 -1.11620129351812675e-01 -1.23246334493160248e-01
 690  +1.95136114954948425e-01 +4.95222993195056915e-02 +6.10709976872689936e-02 +4.95222993195056915e-02
 691  +1.81839302182197571e-01 -1.02375507354736328e-01 -8.99823222444356002e-02 -1.02375507354736328e-01
 692  +1.88009798526763916e-01 +2.98574775457382202e-01 +3.10561215259619883e-01 +2.98574775457382202e-01
 693  +1.71263143420219421e-01 +5.44479072093963623e-01 +5.57637584119767271e-01 +5.44479072093963623e-01
 694  +1.78478389978408813e-01 +3.88446509838104248e-01 +4.01073070020233347e-01 +3.88446509838104248e-01
 695  +1.96207448840141296e-01 +6.02832019329071045e-01 +6.14317659377874525e-01 +6.02832019329071045e-01
 696  +1.85042664408683777e-01 +1.05412572622299194e-01 +1.17591213366979960e-01 +1.05412572622299194e-01
 697  +1.96374431252479553e-01 +2.02309906482696533e-01 +2.13785779985670360e-01 +2.02309906482696533e-01
 698  +2.00810611248016357e-01 +2.78595030307769775e-01 +2.89817386129836152e-01 +2.78595030307769775e-01
 699  +6.66491389274597168e-02 -5.01906350255012512e-02 -1.63782232143802262e-02 -5.01906350255012512e-02
 700  +1.91675618290901184e-01 -2.49531399458646774e-02 -1.31959422784404222e-02 -2.49531399458646774e-02
 701  +1.66990414261817932e-01 -3.89967203140258789e-01 -3.76472008567361904e-01 -3.89967203140258789e-01
 702  +2.06273168325424194e-01 -1.26102879643440247e-01 -1.15177715936658112e-01 -1.26102879643440247e-01
 703  +1.17862142622470856e-01 +2.08676040172576904e-01 +2.27796413195918118e-01 +2.08676040172576904e-01
 704  +1.95056036114692688e-01 -2.42735177278518677e-01 -2.31181737676440485e-01 -2.42735177278518677e-01
 705  +1.98327764868736267e-01 +4.83033666387200356e-03 +1.61931840885047307e-02 +4.83033666387200182e-03
 706  +1.29174917936325073e-01 +6.47607669234275818e-02 +8.22066315562408195e-02 +6.47607669234275818e-02
 707  +1.85703411698341370e-01 -1.54299661517143250e-01 -1.42164353330492349e-01 -1.54299661517143250e-01
 708  +1.83344721794128418e-01 +1.39644881710410118e-02 +2.62559144538349123e-02 +1.39644881710410135e-02
 709  +8.86251032352447510e-02 -2.45307117700576782e-01 -2.19879016067904387e-01 -2.45307117700576782e-01
 710  +2.42768928408622742e-01 +1.21216792613267899e-02 +2.14044492889587205e-02 +1.21216792613267899e-02
 711  +1.87151759862899780e-01 -7.05698654055595398e-02 -5.85284711171875638e-02 -7.05698654055595398e-02
 712  +2.06727087497711182e-01 +4.72101092338562012e-01 +4.83002267213851810e-01 +4.72101092338562012e-01
 713  +1.99624553322792053e-01 +1.10118471086025238e-01 +1.21407503896672916e-01 +1.10118471086025238e-01
 714  +1.88131794333457947e-01 -1.91949471831321716e-01 -1.79970804747131230e-01 -1.91949471831321716e-01
 715  +1.90085396170616150e-01 -9.55122187733650208e-02 -8.36566623883330251e-02 -9.55122187733650208e-02
 716  +1.88496276736259460e-01 -1.90238848328590393e-01 -1.78283343576498998e-01 -1.90238848328590393e-01
 717  +1.98410704731941223e-01 -1.55874833464622498e-01 -1.44516735950093123e-01 -1.55874833464622498e-01
 718  +7.54145011305809021e-02 +9.05364453792572021e-02 +1.20418869826643141e-01 +9.05364453792572021e-02
 719  +2.06589192152023315e-01 +3.30726206302642822e-01 +3.41634657557021826e-01 +3.30726206302642822e-01
 720  +6.06724657118320465e-02 -2.86463350057601929e-01 -2.49320173068960010e-01 -2.86463350057601929e-01
 721  +7.54026323556900024e-02 +1.30976274609565735e-01 +1.60863402709302800e-01 +1.30976274609565735e-01
 722  +2.06044226884841919e-01 -4.63883399963378906e-01 -4.52946097004964021e-01 -4.63883399963378906e-01
 723  +2.11567535996437073e-01 +5.20331859588623047e-01 +5.30983626749676696e-01 +5.20331859588623047e-01
 724  +5.55812716484069824e-02 +2.37344160676002502e-01 +2.77889618983026943e-01 +2.37344160676002502e-01
 725  +1.79216340184211731e-01 -1.76206335425376892e-01 -1.63631767001786166e-01 -1.76206335425376892e-01
 726  +1.74750015139579773e-01 +6.58095106482505798e-02 +7.87054645082366361e-02 +6.58095106482505798e-02
 727  +1.84085801243782043e-01 -1.99871614575386047e-01 -1.87629670237226487e-01 -1.99871614575386047e-01
 728  +1.74283117055892944e-01 +7.77601031586527824e-03 +2.07065119636477279e-02 +7.77601031586527824e-03
 729  +1.66221544146537781e-01 -7.63008952140808105e-01 -7.49451334541700875e-01 -7.63008952140808105e-01
 730  +1.98176994919776917e-01 +1.78227692842483521e-01 +1.89599184943189475e-01 +1.78227692842483521e-01
 731  +1.58230990171432495e-01 +2.25629538297653198e-01 +2.39871806072317922e-01 +2.25629538297653198e-01
 732  +1.93459033966064453e-01 -1.12277723848819733e-01 -1.00628910732823332e-01 -1.12277723848819733e-01
 733  +2.18155205249786377e-01 +1.41675576567649841e-01 +1.52005690532574789e-01 +1.41675576567649841e-01
 734  +2.06675752997398376e-01 -3.28904129564762115e-02 -2.19865304274973368e-02 -3.28904129564762115e-02
 735  +1.85463115572929382e-01 -8.89846906065940857e-02 -7.68336592529462042e-02 -8.89846906065940857e-02
 736  +1.77753970026969910e-01 +3.00896793603897095e-01 +3.13574812170402006e-01 +3.00896793603897095e-01
 737  +1.90042823553085327e-01 -2.58417487144470215e-01 -2.46559274926094141e-01 -2.58417487144470215e-01
 738  +2.12401941418647766e-01 -5.46930767595767975e-02 -4.40831542832559944e-02 -5.46930767595767975e-02
 739  +1.21512070298194885e-01 -2.23681122064590454e-01 -2.05135078640743346e-01 -2.23681122064590454e-01
 740  +2.09244146943092346e-01 -1.20296597480773926e-01 -1.09526556047381846e-01 -1.20296597480773926e-01
 741  +1.92894324660301208e-01 -4.82501322403550148e-03 +6.85790246692926687e-03 -4.82501322403550148e-03
 742  +2.43355214595794678e-01 -1.28494724631309509e-01 -1.19234318455033433e-01 -1.28494724631309509e-01
 743  +1.93576425313949585e-01 -5.15976697206497192e-02 -3.99559208423089646e-02 -5.15976697206497192e-02
 744  +1.94819539785385132e-01 +6.42496794462203979e-02 +7.58171440586223877e-02 +6.42496794462203979e-02
 745  +6.22147209942340851e-02 -1.80229231715202332e-01 -1.44006805635677831e-01 -1.80229231715202332e-01
 746  +1.85220226645469666e-01 +5.02428114414215088e-01 +5.14595080047970832e-01 +5.02428114414215088e-01
 747  +1.86792403459548950e-01 +1.55059874057769775e-01 +1.67124433914241199e-01 +1.55059874057769775e-01
 748  +2.03471302986145020e-01 +2.41768479347229004e-01 +2.52844086075050156e-01 +2.41768479347229004e-01
 749  +2.31011524796485901e-01 -3.58689837157726288e-02 -2.61137642120824534e-02 -3.58689837157726288e-02
 750  +1.79378554224967957e-01 -1.23124137520790100e-01 -1.10560940420619647e-01 -1.23124137520790100e-01
 751  +1.65505632758140564e-01 -5.30382633209228516e-01 -5.16766370761139515e-01 -5.30382633209228516e-01
 752  +1.75585702061653137e-01 -5.53926192224025726e-02 -4.25580426833595815e-02 -5.53926192224025726e-02
 753  +2.07429200410842896e-01 -2.90378904901444912e-03 +7.96048718503733661e-03 -2.90378904901444912e-03
 754  +2.19448283314704895e-01 -2.26352632045745850e-01 -2.16083387291435780e-01 -2.26352632045745850e-01
 755  +2.15171664953231812e-01 -3.65727394819259644e-01 -3.55254044934823376e-01 -3.65727394819259644e-01
 756  +5.01684509217739105e-02 +2.06832913681864738e-03 +4.69883553857017022e-02 +2.06832913681864738e-03
 757  +2.29440301656723022e-01 -4.68521751463413239e-03 +5.13680641054166387e-03 -4.68521751463413239e-03
 758  +1.94999977946281433e-01 +1.73679187893867493e-01 +1.85235948853567173e-01 +1.73679187893867493e-01
 759  +2.14907139539718628e-01 -4.17706277221441269e-03 +6.30917857415735917e-03 -4.17706277221441269e-03
 760  +2.02403038740158081e-01 -1.21232233941555023e-01 -1.10098171200703671e-01 -1.21232233941555023e-01
 761  +1.72737821936607361e-01 +5.47991096973419189e-01 +5.61037273583767537e-01 +5.47991096973419189e-01
 762  +6.56965002417564392e-02 -4.18859347701072693e-02 -7.58322269291923645e-03 -4.18859347701072693e-02
 763  +1.91915914416313171e-01 +7.80076384544372559e-02 +8.97501150443845430e-02 +7.80076384544372559e-02
 764  +1.84724718332290649e-01 +1.92231565713882446e-01 +2.04431168195982699e-01 +1.92231565713882446e-01
 765  +1.89976871013641357e-01 -2.59195536375045776e-01 -2.47333207449173170e-01 -2.59195536375045776e-01
 766  +1.82507053017616272e-01 +1.51656165719032288e-01 +1.64004007049056738e-01 +1.51656165719032288e-01
 767  +1.89823478460311890e-01 -4.10015970468521118e-01 -3.98144055832086619e-01 -4.10015970468521118e-01
