h.0.attn.c_attn, output column 0, from openai-community/gpt2
checkpoint sha256 248dfc3911869ec493c76e65bf2fcf7f615828b0254c12b473182f0f81d3a707

SCALARS
  C      = sum_j beta_j/g_j            = -4.39916937176039653e+01
  <v,v>  = sum_j 1/g_j^2 + C^2         = +4.00579954725675416e+04
  alpha  = <(W[:,0],b_0), v> / <v,v>   = -2.25356813227188535e-03
  b_0    stored                        = +4.80339139699935913e-01
  b_0    min-norm = b_0 + alpha*C      = +5.79477418746593531e-01

CHECKS
  <(Wmin,bmin), v>  = +1.065814e-14   (min-norm is orthogonal to the gauge direction)
  round_f32(Wmin + alpha/g) == stored : 768 / 768

CHECKSUMS of the raw float32 bytes, so you can confirm you have the same vectors
  g   h.0.ln_1.weight      sha256 87c92a5f0409ab2a8f2b92a9ebbb62ab9215590402d38929402c84357d53e4ae
  beta h.0.ln_1.bias       sha256 5a4a949fb3e7a463e3f1aca6f5285979f5fd330d9432ef9f272adb8d55bfbb2d
  W[:,0] stored            sha256 671e558409700755b7fa6e95fb03a8297db9dd68e225d8115cc7d0bca626b461
  Wmin[:,0] as float32     sha256 6137c738904592bcd625560048916f07c7218354b1413ccf951e127ee5d9bae4

THE 768 ROWS.  j, g_j, stored W[j,0], min-norm Wmin[j,0], and Wmin_j + alpha/g_j before rounding
   j  g_j                      W[j,0] stored            Wmin[j,0]                Wmin_j + alpha/g_j
 102  +8.57133641839027405e-02 -2.40937337279319763e-01 -2.14645426400209588e-01 -2.40937337279319763e-01
 103  +1.82281136512756348e-01 -6.50798976421356201e-02 -5.27167525828871192e-02 -6.50798976421356201e-02
 104  +1.87926635146141052e-01 +3.91708277165889740e-02 +5.11625718912207400e-02 +3.91708277165889740e-02
 105  +1.97878167033195496e-01 +1.61284342408180237e-01 +1.72673007292537262e-01 +1.61284342408180237e-01
 106  +1.85027480125427246e-01 +9.49559733271598816e-02 +1.07135613512197400e-01 +9.49559733271598816e-02
 107  +1.02943934500217438e-01 -2.42200136184692383e-01 -2.20308917987012881e-01 -2.42200136184692383e-01
 108  +1.76159858703613281e-01 -4.54927861690521240e-01 -4.42135116800418393e-01 -4.54927861690521240e-01
 109  +1.95333212614059448e-01 -1.58333480358123779e-01 -1.46796435008214460e-01 -1.58333480358123779e-01
 110  +2.23097980022430420e-01 +2.75502920150756836e-01 +2.85604168633801392e-01 +2.75502920150756836e-01
 111  +2.00611382722854614e-01 +3.58279570937156677e-02 +4.70614579134831998e-02 +3.58279570937156677e-02
 112  +2.02208757400512695e-01 +9.19614210724830627e-02 +1.03106181374868322e-01 +9.19614210724830627e-02
 113  +2.13443920016288757e-01 -8.78710448741912842e-02 -7.73129173243416179e-02 -8.78710448741912842e-02
 114  +1.96993261575698853e-01 +3.01923930644989014e-01 +3.13363754089944269e-01 +3.01923930644989014e-01
 115  +1.82013973593711853e-01 +1.17050074040889740e-01 +1.29431365915228219e-01 +1.17050074040889726e-01
 116  +5.67977689206600189e-02 -3.38743701577186584e-02 +5.80268362620482703e-03 -3.38743701577186584e-02
 117  +2.26916953921318054e-01 +4.56333011388778687e-01 +4.66264257570821572e-01 +4.56333011388778687e-01
 118  +1.88214316964149475e-01 -4.34899777173995972e-01 -4.22926362140424783e-01 -4.34899777173995972e-01
 119  +1.77039906382560730e-01 -1.92168399691581726e-01 -1.79439246257653617e-01 -1.92168399691581726e-01
 120  +1.87995448708534241e-01 -3.48473489284515381e-01 -3.36486134549317584e-01 -3.48473489284515381e-01
 121  +1.91040694713592529e-01 +4.83103632926940918e-01 +4.94899905630253822e-01 +4.83103632926940918e-01
 122  +1.87176257371902466e-01 +3.89519661664962769e-01 +4.01559479983341960e-01 +3.89519661664962769e-01
 123  +1.61251857876777649e-01 +4.36594784259796143e-01 +4.50570239562729624e-01 +4.36594784259796143e-01
 124  +1.94648697972297668e-01 +9.69398170709609985e-02 +1.08517434366878454e-01 +9.69398170709609985e-02
 125  +1.92984744906425476e-01 +1.58358260989189148e-01 +1.70035702816855872e-01 +1.58358260989189148e-01
 126  +1.98138862848281860e-01 -1.29061620682477951e-02 -1.53248150969185516e-03 -1.29061620682477951e-02
 127  +2.03015223145484924e-01 +3.11527818441390991e-01 +3.22628306854798930e-01 +3.11527818441390991e-01
 128  +1.84811457991600037e-01 +1.22258968651294708e-01 +1.34452845355488626e-01 +1.22258968651294708e-01
 129  +2.34109535813331604e-01 +6.25333003699779510e-03 +1.58794570738254592e-02 +6.25333003699779684e-03
 130  +1.83227151632308960e-01 +3.61334942281246185e-02 +4.84328074696153410e-02 +3.61334942281246185e-02
 131  +1.89288586378097534e-01 +2.46001750230789185e-01 +2.57907212548366349e-01 +2.46001750230789212e-01
 132  +2.36823230981826782e-01 -3.87851417064666748e-01 -3.78335593287881855e-01 -3.87851417064666748e-01
 133  +2.08477795124053955e-01 -2.27812662720680237e-01 -2.17003031263618307e-01 -2.27812662720680237e-01
 134  +1.83268904685974121e-01 +7.93465762399137020e-04 +1.30899769252355597e-02 +7.93465762399137020e-04
 135  +2.08308830857276917e-01 +1.42324179410934448e-01 +1.53142578818187242e-01 +1.42324179410934448e-01
 136  +2.00852051377296448e-01 +3.78809310495853424e-02 +4.91009714565344563e-02 +3.78809310495853424e-02
 137  +2.21206650137901306e-01 +1.10140122473239899e-01 +1.20327737225630935e-01 +1.10140122473239899e-01
 138  +1.34236723184585571e-01 -2.30680238455533981e-02 -6.28000877181638523e-03 -2.30680238455533981e-02
 139  +6.14033676683902740e-02 -5.15052117407321930e-02 -1.48041606771763534e-02 -5.15052117407321930e-02
 140  +1.91303491592407227e-01 +2.96571046113967896e-01 +3.08351114075682664e-01 +2.96571046113967896e-01
 141  +1.81157752871513367e-01 -1.12357370555400848e-01 -9.99175599673867987e-02 -1.12357370555400848e-01
 142  +1.04080751538276672e-01 -2.25521512329578400e-02 -9.00038820576626319e-04 -2.25521512329578400e-02
 143  +1.95712521672248840e-01 -1.54241904616355896e-01 -1.42727219132685934e-01 -1.54241904616355896e-01
 144  +1.90243855118751526e-01 -2.20067143440246582e-01 -2.08221461849820488e-01 -2.20067143440246582e-01
 145  +1.35513097047805786e-01 +7.85996615886688232e-02 +9.52295533213983886e-02 +7.85996615886688232e-02
 146  +2.14506506919860840e-01 -3.32217931747436523e-01 -3.21712105305939300e-01 -3.32217931747436523e-01
 147  +1.97412490844726562e-01 +3.77813190221786499e-01 +3.89228719819882774e-01 +3.77813190221786499e-01
 148  +1.90380796790122986e-01 +1.48709386587142944e-01 +1.60546547531249251e-01 +1.48709386587142944e-01
 149  +1.99727773666381836e-01 -4.58760857582092285e-01 -4.47477659001827899e-01 -4.58760857582092285e-01
 150  +1.84863433241844177e-01 +4.71432060003280640e-02 +5.93336543369858416e-02 +4.71432060003280640e-02
